  UID   PID  PPID   C STIME   TTY           TIME CMD
  262   712     1   0  6Jun26 ??         1:03.26 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
    0   713     1   0  6Jun26 ??         0:19.62 /System/Library/CoreServices/TimeMachine/backupd
    0   714     1   0  6Jun26 ??         0:16.16 /usr/libexec/findmybeaconingd
    0   716     1   0  6Jun26 ??         0:00.17 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
    0   717     1   0  6Jun26 ??         0:00.16 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  262   718     1   0  6Jun26 ??         0:00.04 /usr/sbin/appleh16camerad
    0   720     1   0  6Jun26 ??         0:27.79 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
  205   721     1   0  6Jun26 ??         0:20.04 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  205   722     1   0  6Jun26 ??         0:26.37 /usr/sbin/distnoted agent
    0   724     1   0  6Jun26 ??         0:08.68 /System/Library/CoreServices/osanalyticshelper server-init
  202   725     1   0  6Jun26 ??        55:49.73 /System/Library/Audio/Plug-Ins/usbaudio.bundle/Contents/MacOS/usbaudiod
  205   726     1   0  6Jun26 ??         0:00.13 /usr/libexec/secinitd
  270   728     1   0  6Jun26 ??         0:00.06 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x1000016ff com.apple.DriverKit-IOUserDockChannelSerial
  270   731     1   0  6Jun26 ??         5:45.83 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100001712 com.apple.AppleUserHIDDrivers
