  UID   PID  PPID   C STIME   TTY           TIME CMD
  262   737     1   0  6Jun26 ??         0:16.11 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  205   738     1   0  6Jun26 ??         0:01.65 /usr/libexec/trustd --agent
    0   739     1   0  6Jun26 ??         0:20.48 /usr/libexec/rtcreportingd
  262   740     1   0  6Jun26 ??         0:00.12 /usr/libexec/secinitd
  262   741     1   0  6Jun26 ??         0:02.82 /usr/sbin/cfprefsd agent
    0   742     1   0  6Jun26 ??         0:00.53 /usr/libexec/symptomsd-diag
  205   743     1   0  6Jun26 ??         0:00.06 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  262   744     1   0  6Jun26 ??         0:01.13 /usr/libexec/trustd --agent
    0   745     1   0  6Jun26 ??         0:01.11 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  200   746     1   0  6Jun26 ??         0:44.05 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  262   747     1   0  6Jun26 ??         0:00.06 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  200   750     1   0  6Jun26 ??         0:24.52 /usr/sbin/distnoted agent
    0   751     1   0  6Jun26 ??         0:00.56 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
    0   752     1   0  6Jun26 ??       166:17.80 /usr/libexec/searchpartyd
    0   761     1   0  6Jun26 ??         0:00.03 /System/Library/PrivateFrameworks/SystemAdministration.framework/XPCServices/writeconfig.xpc/Contents/MacOS/writeconfig
    0   764     1   0  6Jun26 ??         0:00.03 /System/Library/PrivateFrameworks/CoreAccessories.framework/Versions/A/XPCServices/ACCHWComponentAuthService.xpc/Contents/MacOS/ACCHWComponentAuthService
